1 155899039	1 109642663	1 92456716	1 130194831	1 101295674	1 98768580	1 95152698	1 145780136	1 105714595	1 74571015	1 57179930	1 60241372	1 61697449	1 40240838	1 39252756	1 25471484	1 45449868	1 53894887	
2 186966726	2 120723718	2 98047099	2 163878290	2 120756124	2 107749490	2 106278296	2 159415640	2 125096418	2 77892403	2 59630230	2 63139397	2 67544235	2 31639740	2 34323614	2 19549320	2 47454348	2 65259791	
3 182510587	3 117350824	3 95110125	3 160497794	3 117569227	3 104534801	3 103304341	3 154933108	3 121641945	3 75845036	3 57836350	3 61216874	3 65621576	3 30617880	3 33322781	3 19007894	3 46247671	3 63644931	
4 188313972	4 122140846	4 99279692	4 164901723	4 121905525	4 108947643	4 107591372	4 161298248	4 126294319	4 79242976	4 60384978	4 64025761	4 68397577	4 32324052	4 34928985	4 19899556	4 47996345	4 65792314	
5 180398315	5 117766396	5 95983568	5 157927178	5 117308548	5 104932514	5 103311957	5 154409712	5 120615326	5 76190472	5 58245259	5 61886598	5 66066002	5 31302889	5 33885004	5 19394158	5 46209270	5 63298621	
6 184840421	6 119816833	6 97567513	6 162107977	6 119614495	6 107067110	6 105350352	6 157887471	6 123528865	6 77631195	6 59284587	6 62979563	6 67319648	6 31840464	6 34483748	6 19712334	6 47238258	6 64538108	
7 201721496	7 137474083	7 116820166	7 168128597	7 129544431	7 122519647	7 118338047	7 181688518	7 135391949	7 92538767	7 71938824	7 76715210	7 77544216	7 45191296	7 46822500	7 29851959	7 56282108	7 70995187	
8 203621402	8 140381689	8 118018514	8 176448432	8 129825784	8 125350068	8 120122099	8 185263615	8 135354802	8 95146666	8 73247431	8 78193469	8 78759089	8 50836146	8 50417486	8 33285924	8 58593994	8 70454421	
9 221239662	9 151477967	9 127007038	9 189867773	9 139203273	9 133670782	9 128972095	9 200824797	9 146320243	9 102976385	9 78521526	9 83900047	9 84830539	9 53166558	9 53772044	9 35325035	9 62443732	9 76884493	
10 209324092	10 142721825	10 120084141	10 178008072	10 131610970	10 125996172	10 121945432	10 189411453	10 138671910	10 97055251	10 74218872	10 79407036	10 79964981	10 49450414	10 50353618	10 32786915	10 58780755	10 72355162	
11 216496731	11 147322628	11 123704921	11 185355567	11 136312228	11 130284844	11 126099706	11 195913210	11 143795466	11 100214669	11 76296657	11 81681434	11 82581677	11 50840854	11 51645912	11 33426528	11 60671378	11 74908218	
